rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_classifier__C
7,0.8355241300189175,0.013016416357550967,0.9806684429623831,0.0012079246659579303,"(1, 1)",2,0.9,0.5
23,0.8185525834005922,0.011963933516967456,0.9897505748243104,0.0009579860637473436,"(1, 2)",2,0.9,0.5
1,0.8373963233429075,0.010503720150536149,0.975797000608439,0.0024701916908930806,"(1, 1)",3,0.9,0.5
15,0.8295064396997084,0.012875581639194401,0.9823550699664458,0.0008551458429168662,"(1, 2)",3,0.9,0.5
7,0.8355241300189175,0.013016416357550967,0.9806684429623831,0.0012079246659579303,"(1, 1)",2,0.95,0.5
23,0.8185525834005922,0.011963933516967456,0.9897505748243104,0.0009579860637473436,"(1, 2)",2,0.95,0.5
1,0.8373963233429075,0.010503720150536149,0.975797000608439,0.0024701916908930806,"(1, 1)",3,0.95,0.5
15,0.8295064396997084,0.012875581639194401,0.9823550699664458,0.0008551458429168662,"(1, 2)",3,0.95,0.5
3,0.8363651125968612,0.009978750604586728,0.9899822904730806,0.0013287541782865,"(1, 1)",2,0.9,1.0
21,0.8256660171491678,0.010463245421589747,0.9954540904603528,0.0009779396853298033,"(1, 2)",2,0.9,1.0
5,0.8356737086475144,0.007573209955941592,0.984742803260357,0.0013885453425813783,"(1, 1)",3,0.9,1.0
11,0.8333361276713418,0.009934693000039433,0.991095845474678,0.00116664531986385,"(1, 2)",3,0.9,1.0
3,0.8363651125968612,0.009978750604586728,0.9899822904730806,0.0013287541782865,"(1, 1)",2,0.95,1.0
21,0.8256660171491678,0.010463245421589747,0.9954540904603528,0.0009779396853298033,"(1, 2)",2,0.95,1.0
5,0.8356737086475144,0.007573209955941592,0.984742803260357,0.0013885453425813783,"(1, 1)",3,0.95,1.0
11,0.8333361276713418,0.009934693000039433,0.991095845474678,0.00116664531986385,"(1, 2)",3,0.95,1.0
9,0.8336255161116313,0.009841671803494297,0.9944485683310574,0.0006991762016135273,"(1, 1)",2,0.9,2.0
19,0.8264507750464498,0.015329997890473008,0.9992498950310722,0.00026251594672457314,"(1, 2)",2,0.9,2.0
13,0.8301347891226077,0.009383883352344104,0.9911000946351736,0.0006689140379904325,"(1, 1)",3,0.9,2.0
17,0.8282392585637085,0.010811726622637949,0.9971405502050956,0.0007160028065739499,"(1, 2)",3,0.9,2.0
9,0.8336255161116313,0.009841671803494297,0.9944485683310574,0.0006991762016135273,"(1, 1)",2,0.95,2.0
19,0.8264507750464498,0.015329997890473008,0.9992498950310722,0.00026251594672457314,"(1, 2)",2,0.95,2.0
13,0.8301347891226077,0.009383883352344104,0.9911000946351736,0.0006689140379904325,"(1, 1)",3,0.95,2.0
17,0.8282392585637085,0.010811726622637949,0.9971405502050956,0.0007160028065739499,"(1, 2)",3,0.95,2.0
