rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_classifier__C
21,0.801863384104044,0.011543582189570793,0.9292419533445593,0.002652205738916316,"(1, 1)",2,0.9,0.5
23,0.7934211365521661,0.011955415940268587,0.940695553321588,0.002102922515230976,"(1, 2)",2,0.9,0.5
15,0.8088173813868453,0.013050919953518817,0.9232897170734471,0.003360335646215815,"(1, 1)",3,0.9,0.5
19,0.8037988093730346,0.013055328733319113,0.9316908491352625,0.003096341117779248,"(1, 2)",3,0.9,0.5
21,0.801863384104044,0.011543582189570793,0.9292419533445593,0.002652205738916316,"(1, 1)",2,0.95,0.5
23,0.7934211365521661,0.011955415940268587,0.940695553321588,0.002102922515230976,"(1, 2)",2,0.95,0.5
15,0.8088173813868453,0.013050919953518817,0.9232897170734471,0.003360335646215815,"(1, 1)",3,0.95,0.5
19,0.8037988093730346,0.013055328733319113,0.9316908491352625,0.003096341117779248,"(1, 2)",3,0.95,0.5
11,0.8151985714056551,0.015045032723222997,0.9499897435696114,0.0010472053891814345,"(1, 1)",2,0.9,1.0
17,0.8078013842808069,0.012401646146576418,0.9596683084528097,0.0010432957406327676,"(1, 2)",2,0.9,1.0
5,0.8236079586094653,0.013499483097340836,0.9451243279701662,0.001270878304199634,"(1, 1)",3,0.9,1.0
9,0.8155622276505534,0.014695456259677735,0.9513733745585424,0.0019140372461845438,"(1, 2)",3,0.9,1.0
11,0.8151985714056551,0.015045032723222997,0.9499897435696114,0.0010472053891814345,"(1, 1)",2,0.95,1.0
17,0.8078013842808069,0.012401646146576418,0.9596683084528097,0.0010432957406327676,"(1, 2)",2,0.95,1.0
5,0.8236079586094653,0.013499483097340836,0.9451243279701662,0.001270878304199634,"(1, 1)",3,0.95,1.0
9,0.8155622276505534,0.014695456259677735,0.9513733745585424,0.0019140372461845438,"(1, 2)",3,0.95,1.0
3,0.8270190059349437,0.012374209820555192,0.964598231819879,0.0014417183799968543,"(1, 1)",2,0.9,2.0
13,0.8151837532227308,0.00983021364487015,0.9741306144395654,0.0016586507693235652,"(1, 2)",2,0.9,2.0
1,0.8302607289356274,0.012240368792124064,0.9609321159882894,0.0018693072299250085,"(1, 1)",3,0.9,2.0
7,0.8235395956488414,0.011738736652248812,0.9665402519602114,0.0013164781245892843,"(1, 2)",3,0.9,2.0
3,0.8270190059349437,0.012374209820555192,0.964598231819879,0.0014417183799968543,"(1, 1)",2,0.95,2.0
13,0.8151837532227308,0.00983021364487015,0.9741306144395654,0.0016586507693235652,"(1, 2)",2,0.95,2.0
1,0.8302607289356274,0.012240368792124064,0.9609321159882894,0.0018693072299250085,"(1, 1)",3,0.95,2.0
7,0.8235395956488414,0.011738736652248812,0.9665402519602114,0.0013164781245892843,"(1, 2)",3,0.95,2.0
